"","date","California","Florida","New York","Pennsylvania","Texas"
"1",2020-01-22,0,0,0,0,0
"2",2020-01-23,0,0,0,0,0
"3",2020-01-24,0,0,0,0,0
"4",2020-01-25,0,0,0,0,0
"5",2020-01-26,2,0,0,0,0
"6",2020-01-27,0,0,0,0,0
"7",2020-01-28,0,0,0,0,0
"8",2020-01-29,0,0,0,0,0
"9",2020-01-30,0,0,0,0,0
"10",2020-01-31,1,0,0,0,0
"11",2020-02-01,0,0,0,0,0
"12",2020-02-02,0,0,0,0,0
"13",2020-02-03,3,0,0,0,0
"14",2020-02-04,0,0,0,0,0
"15",2020-02-05,0,0,0,0,0
"16",2020-02-06,0,0,0,0,0
"17",2020-02-07,0,0,0,0,0
"18",2020-02-08,0,0,0,0,0
"19",2020-02-09,0,0,0,0,0
"20",2020-02-10,0,0,0,0,0
"21",2020-02-11,1,0,0,0,0
"22",2020-02-12,0,0,0,0,0
"23",2020-02-13,1,0,0,0,0
"24",2020-02-14,0,0,0,0,0
"25",2020-02-15,0,0,0,0,0
"26",2020-02-16,0,0,0,0,0
"27",2020-02-17,1,0,0,0,0
"28",2020-02-18,1,0,0,0,0
"29",2020-02-19,0,0,0,0,0
"30",2020-02-20,0,0,0,0,0
"31",2020-02-21,0,0,0,0,0
"32",2020-02-22,0,0,0,0,0
"33",2020-02-23,0,0,0,0,0
"34",2020-02-24,1,0,0,0,0
"35",2020-02-25,1,0,0,0,0
"36",2020-02-26,1,0,0,0,0
"37",2020-02-27,0,0,0,0,0
"38",2020-02-28,0,0,0,0,0
"39",2020-02-29,0,0,0,0,0
"40",2020-03-01,6,0,0,0,0
"41",2020-03-02,4,1,0,0,0
"42",2020-03-03,6,1,1,0,0
"43",2020-03-04,11,0,9,0,0
"44",2020-03-05,10,1,11,0,3
"45",2020-03-06,18,0,3,2,1
"46",2020-03-07,26,4,52,0,4
"47",2020-03-08,19,3,29,4,3
"48",2020-03-09,23,3,33,1,2
"49",2020-03-10,22,2,14,5,3
"50",2020-03-11,25,9,64,4,5
"51",2020-03-12,43,6,80,6,6
"52",2020-03-13,53,20,83,19,17
"53",2020-03-14,56,26,178,6,16
"54",2020-03-15,39,24,76,0,4
"55",2020-03-16,159,1,328,32,21
"56",2020-03-17,84,89,446,33,26
"57",2020-03-18,176,116,1100,43,86
"58",2020-03-19,190,126,1714,51,109
"59",2020-03-20,261,132,3439,105,123
"60",2020-03-21,152,199,2750,88,153
"61",2020-03-22,301,241,4781,110,61
"62",2020-03-23,376,223,5693,189,121
"63",2020-03-24,428,185,4797,248,204
"64",2020-03-25,512,270,5160,314,280
"65",2020-03-26,866,675,6556,535,315
"66",2020-03-27,670,543,7304,550,374
"67",2020-03-28,2965,863,7699,500,518
"68",2020-03-29,2965,483,7248,587,337
"69",2020-03-30,1369,1227,7015,723,381
"70",2020-03-31,1147,1268,9190,808,636
"71",2020-04-01,1234,215,14524,987,500
"72",2020-04-02,1498,2052,10403,1133,675
"73",2020-04-03,1324,1260,10675,1400,771
"74",2020-04-04,746,1269,10250,1709,841
"75",2020-04-05,1655,813,10995,1413,647
"76",2020-04-06,1510,974,9861,1499,865
"77",2020-04-07,1097,1221,7413,1531,888
"78",2020-04-08,1479,911,10211,1801,862
"79",2020-04-09,960,908,12071,2024,1418
"80",2020-04-10,1216,1167,11473,1843,951
"81",2020-04-11,709,963,8533,1735,918
"82",2020-04-12,743,1401,8373,1181,635
"83",2020-04-13,1201,1124,7853,1286,548
"84",2020-04-14,1137,609,7471,1107,760
"85",2020-04-15,1812,883,6658,1229,956
"86",2020-04-16,1222,832,7889,1192,941
"87",2020-04-17,1718,1416,6986,1822,940
"88",2020-04-18,1345,733,6877,1816,799
"89",2020-04-19,665,822,6644,1267,558
"90",2020-04-20,2255,745,6386,895,565
"91",2020-04-21,2191,810,4633,1244,938
"92",2020-04-22,1996,440,4259,1343,792
"93",2020-04-23,1848,1339,5497,1854,1220
"94",2020-04-24,1870,885,6668,1641,975
"95",2020-04-25,966,306,9442,1545,515
"96",2020-04-26,1302,693,5677,1324,764
"97",2020-04-27,1577,606,4313,911,514
"98",2020-04-28,1515,710,2908,1504,941
"99",2020-04-29,2395,345,3136,1173,1036
"100",2020-04-30,1486,497,4377,1581,1348
"101",2020-05-01,1834,1038,4490,1693,1080
"102",2020-05-02,1337,735,4375,1349,1156
"103",2020-05-03,1367,615,3511,1049,997
"104",2020-05-04,1360,819,3143,955,766
"105",2020-05-05,2587,542,2106,879,1248
